Ca	20 2 9	rrc 	2.417	a	0.		0.

Fe	26 1 1	a	1.7798	v	2.92e14		4.16e-01
Fe	26 1 2	b	1.5028	v	7.78e13		7.90e-02
Fe	26 1 3	c	1.4251	v	3.17e13		2.90e-02
Fe	26 1 4	d	1.3918	v	1.60e13		1.39e-02
Fe	26 1 5	e	1.3744	v	9.18e12		7.80e-03
Fe	26 1 6	rrc	1.33637	m	0.		0.

Fe	26 2 1	f	1.86819	m	0.		0.
Fe	26 2 2	i=xy	1.85747	m	0.		0.
Fe	26 2 3	r	1.85040	v	5.18e14		7.98e-01
Fe	26 2 4	b	1.5732	v	1.40e14		1.56e-01
Fe	26 2 5	c	1.4946	v	5.76e13		5.79e-02
Fe	26 2 6	d	1.4608	v	2.90e13		2.78e-02
Fe	26 2 7	e	0.	?	0.		0.
Fe	26 2 8	f	0.	?	0.		0.
Fe	26 2 9	rrc 	1.404	a	0.		0.

Ni	28 1 1	a	1.53312	f	3.87e14		4.16e-01
Ni	28 1 2	b	1.29400	f	1.03e14		7.90e-02
Ni	28 1 3	c	1.22696	f	4.20e13		2.90e-02
Ni	28 1 4	d	1.19838	f	2.10e13		1.39e-02
Ni	28 1 5	e	1.18339	f	1.21e13		7.80e-03
Ni	28 1 6	rrc	1.15067	f	0.		0.

Ni	28 2 1	f	1.6036	a	0.		0.
Ni	28 2 2	i=xy	1.5923	a	0.		0.
Ni	28 2 3	r	1.5904	a	6.02e14		6.83e-01
Ni	28 2 4	b	1.3509  a       1.87e14		1.54e-01
Ni	28 2 5	c	1.2829	a	7.38e13		5.46e-02
Ni	28 2 6	d	1.2537	a	3.87e13		2.74e-02
Ni	28 2 7	e	0.	?	0.		0.
Ni	28 2 8	f	0.	?	0.		0.
Ni	28 2 9	rrc 	1.2051	f	0.		0.
